language,newusers,totalusers,conversions,property_id,totalrevenue,engagementrate,engagedsessions,date
Bengali,1,1,0,353783484,0,0,0,30/06/23
Bulgarian,1,1,0,353783484,0,0,0,30/06/23
Chinese,1,1,0,353783484,0,1,1,30/06/23
English,389,389,0,353783484,0,0.658018868,279,30/06/23
French,3,3,0,353783484,0,0,0,30/06/23
Korean,1,1,0,353783484,0,0.5,1,30/06/23
Polish,1,1,0,353783484,0,1,1,30/06/23
Portuguese,1,1,0,353783484,0,0,0,30/06/23
Russian,1,1,0,353783484,0,1,1,30/06/23
Spanish,3,3,0,353783484,0,0.333333333,1,30/06/23
Chinese,2,2,0,353783484,0,1,2,01/07/23
English,404,424,0,353783484,0,0.612200436,281,01/07/23
French,6,6,0,353783484,0,0.666666667,4,01/07/23
German,1,1,0,353783484,0,1,1,01/07/23
Malayalam,1,1,0,353783484,0,0,0,01/07/23
Polish,1,1,0,353783484,0,1,1,01/07/23
Romanian,1,1,0,353783484,0,0,0,01/07/23
Russian,2,2,0,353783484,0,1,3,01/07/23
Spanish,4,4,0,353783484,0,0.5,2,01/07/23
Chinese,4,4,0,353783484,0,0.75,3,02/07/23
Dutch,1,1,0,353783484,0,0.333333333,1,02/07/23
English,442,458,0,353783484,0,0.650505051,322,02/07/23
French,3,3,0,353783484,0,0.666666667,2,02/07/23
Greek,2,2,0,353783484,0,0.5,1,02/07/23
Korean,1,1,0,353783484,0,1,1,02/07/23
Polish,1,1,0,353783484,0,1,1,02/07/23
Serbian,1,1,0,353783484,0,1,1,02/07/23
Slovak,1,1,0,353783484,0,1,1,02/07/23
Central Khmer,1,1,0,353783484,0,0,0,03/07/23
Chinese,6,7,0,353783484,0,0.555555556,5,03/07/23
English,548,571,0,353783484,0,0.637820513,398,03/07/23
French,8,8,0,353783484,0,0.875,7,03/07/23
German,2,2,0,353783484,0,0.333333333,1,03/07/23
Panjabi,1,1,0,353783484,0,0,0,03/07/23
Portuguese,1,1,0,353783484,0,0.333333333,1,03/07/23
Spanish,1,1,0,353783484,0,1,1,03/07/23
Swedish,1,1,0,353783484,0,0,0,03/07/23
Chinese,5,6,0,353783484,0,0.571428571,4,04/07/23
English,572,608,0,353783484,0,0.614825581,423,04/07/23
French,8,8,0,353783484,0,0.875,7,04/07/23
Italian,1,1,0,353783484,0,0,0,04/07/23
Portuguese,2,2,0,353783484,0,1,2,04/07/23
Russian,0,1,0,353783484,0,1,1,04/07/23
Spanish,1,1,0,353783484,0,0,0,04/07/23
Swedish,1,1,0,353783484,0,0,0,04/07/23
Bengali,1,1,0,353783484,0,0,0,05/07/23
Chinese,3,3,0,353783484,0,1,3,05/07/23
Dutch,2,2,0,353783484,0,1,2,05/07/23
English,539,580,0,353783484,0,0.635239567,411,05/07/23
French,7,8,0,353783484,0,0.75,6,05/07/23
Latvian,1,1,0,353783484,0,0,0,05/07/23
Malayalam,0,1,0,353783484,0,0,0,05/07/23
Portuguese,2,3,0,353783484,0,1,3,05/07/23
Romanian,1,1,0,353783484,0,1,1,05/07/23
Russian,2,2,0,353783484,0,1,2,05/07/23
Spanish,6,6,0,353783484,0,0.142857143,1,05/07/23
Turkish,1,1,0,353783484,0,0,0,05/07/23
Chinese,6,6,0,353783484,0,0.142857143,1,06/07/23
English,517,573,0,353783484,0,0.610091743,399,06/07/23
Finnish,1,1,0,353783484,0,0,0,06/07/23
French,9,9,0,353783484,0,0.454545455,5,06/07/23
Hebrew,1,1,0,353783484,0,1,1,06/07/23
Hungarian,1,1,0,353783484,0,1,1,06/07/23
Icelandic,1,1,0,353783484,0,0,0,06/07/23
Italian,1,1,0,353783484,0,0,0,06/07/23
Latvian,0,1,0,353783484,0,0,0,06/07/23
Polish,1,1,0,353783484,0,1,1,06/07/23
Romanian,0,1,0,353783484,0,0,0,06/07/23
Spanish,3,3,0,353783484,0,0.666666667,2,06/07/23
Chinese,2,2,0,353783484,0,1,2,07/07/23
Dutch,1,1,0,353783484,0,0,0,07/07/23
English,457,519,0,353783484,0,0.600358423,335,07/07/23
Estonian,1,1,0,353783484,0,0,0,07/07/23
Finnish,1,1,0,353783484,0,1,1,07/07/23
French,5,5,0,353783484,0,0.833333333,5,07/07/23
Hungarian,1,1,0,353783484,0,1,1,07/07/23
Italian,2,2,0,353783484,0,0.666666667,2,07/07/23
Korean,1,1,0,353783484,0,1,1,07/07/23
Malayalam,0,1,0,353783484,0,0,0,07/07/23
Russian,1,1,0,353783484,0,0,0,07/07/23
Spanish,3,3,0,353783484,0,0.333333333,1,07/07/23
Arabic,1,1,0,353783484,0,0,0,08/07/23
Chinese,2,2,0,353783484,0,0.5,1,08/07/23
Croatian,1,1,0,353783484,0,0,0,08/07/23
English,451,484,0,353783484,0,0.658959538,342,08/07/23
French,5,5,0,353783484,0,0.833333333,5,08/07/23
Russian,0,1,0,353783484,0,0,0,08/07/23
Spanish,2,2,0,353783484,0,0.5,1,08/07/23
Thai,1,1,0,353783484,0,0,0,08/07/23
Turkish,2,2,0,353783484,0,0.5,1,08/07/23
Chinese,3,3,0,353783484,0,1,3,09/07/23
English,442,494,0,353783484,0,0.658627087,355,09/07/23
French,3,4,0,353783484,0,0.75,3,09/07/23
Hungarian,1,1,0,353783484,0,1,1,09/07/23
Polish,1,1,0,353783484,0,0,0,09/07/23
Russian,1,1,0,353783484,0,0,0,09/07/23
Spanish,2,2,0,353783484,0,0,0,09/07/23
Tamil,1,1,0,353783484,0,0,0,09/07/23
Turkish,1,1,0,353783484,0,0,0,09/07/23
Arabic,1,1,0,353783484,0,0,0,10/07/23
Chinese,4,5,0,353783484,0,0.666666667,4,10/07/23
English,580,646,0,353783484,0,0.638850889,467,10/07/23
French,7,7,0,353783484,0,1,7,10/07/23
German,2,2,0,353783484,0,0.5,1,10/07/23
Norwegian Bokmål,1,1,0,353783484,0,1,1,10/07/23
Portuguese,1,2,0,353783484,0,0.5,1,10/07/23
Russian,2,2,0,353783484,0,0,0,10/07/23
Spanish,4,4,0,353783484,0,0.8,4,10/07/23
Arabic,1,1,0,353783484,0,0,0,11/07/23
Chinese,2,3,0,353783484,0,0.75,3,11/07/23
English,509,577,0,353783484,0,0.693251534,452,11/07/23
French,6,7,0,353783484,0,0.714285714,5,11/07/23
Hungarian,1,1,0,353783484,0,1,1,11/07/23
Latvian,1,1,0,353783484,0,1,1,11/07/23
Portuguese,1,1,0,353783484,0,1,1,11/07/23
Russian,1,1,0,353783484,0,1,1,11/07/23
Slovak,1,1,0,353783484,0,1,1,11/07/23
Spanish,4,4,0,353783484,0,0.2,1,11/07/23
Ukrainian,1,1,0,353783484,0,1,1,11/07/23
Vietnamese,1,1,0,353783484,0,0,0,11/07/23
Chinese,3,3,0,353783484,0,0.666666667,2,12/07/23
Dutch,1,1,0,353783484,0,1,1,12/07/23
English,523,591,0,353783484,0,0.608562691,398,12/07/23
French,3,3,0,353783484,0,0.333333333,1,12/07/23
Serbian,1,1,0,353783484,0,1,1,12/07/23
Spanish,1,1,0,353783484,0,0,0,12/07/23
Ukrainian,0,1,0,353783484,0,1,1,12/07/23
Chinese,1,2,0,353783484,0,1,3,13/07/23
Croatian,1,1,0,353783484,0,1,1,13/07/23
English,513,571,0,353783484,0,0.629746835,398,13/07/23
French,10,10,0,353783484,0,0.4,6,13/07/23
Italian,1,1,0,353783484,0,1,1,13/07/23
Spanish,1,1,0,353783484,0,0,0,13/07/23
Ukrainian,1,2,0,353783484,0,0,0,13/07/23
Arabic,1,1,0,353783484,0,0,0,14/07/23
Chinese,6,7,0,353783484,0,0.75,6,14/07/23
Dutch,1,1,0,353783484,0,1,1,14/07/23
English,495,554,0,353783484,0,0.612540193,381,14/07/23
French,3,4,0,353783484,0,0.6,3,14/07/23
German,1,1,0,353783484,0,1,1,14/07/23
Portuguese,1,1,0,353783484,0,0,0,14/07/23
Spanish,4,4,0,353783484,0,0.2,1,14/07/23
Ukrainian,3,3,0,353783484,0,0.666666667,2,14/07/23
Arabic,1,1,0,353783484,0,0,0,15/07/23
Bulgarian,1,1,0,353783484,0,0,0,15/07/23
Chinese,1,2,0,353783484,0,1,3,15/07/23
English,485,544,0,353783484,0,0.648148148,385,15/07/23
French,8,9,0,353783484,0,0.555555556,5,15/07/23
Japanese,1,1,0,353783484,0,1,1,15/07/23
Korean,1,1,0,353783484,0,0,0,15/07/23
Russian,2,2,0,353783484,0,1,2,15/07/23
Chinese,2,3,0,353783484,0,0.75,3,16/07/23
Dutch,1,1,0,353783484,0,0,0,16/07/23
English,446,494,0,353783484,0,0.681985294,371,16/07/23
French,3,4,0,353783484,0,0.5,2,16/07/23
Norwegian Bokmål,1,1,0,353783484,0,1,1,16/07/23
Russian,1,1,0,353783484,0,1,1,16/07/23
Spanish,2,2,0,353783484,0,0.5,1,16/07/23
Ukrainian,1,1,0,353783484,0,1,1,16/07/23
Chinese,7,8,0,353783484,0,0.8,8,17/07/23
Czech,1,1,0,353783484,0,1,1,17/07/23
English,554,644,0,353783484,0,0.628965517,456,17/07/23
French,5,6,0,353783484,0,0.5,3,17/07/23
Italian,1,1,0,353783484,0,0,0,17/07/23
Japanese,1,1,0,353783484,0,1,1,17/07/23
Polish,1,1,0,353783484,0,1,1,17/07/23
Portuguese,2,2,0,353783484,0,0.333333333,1,17/07/23
Romanian,1,1,0,353783484,0,1,1,17/07/23
Russian,3,3,0,353783484,0,0.666666667,2,17/07/23
Slovenian,1,1,0,353783484,0,0,0,17/07/23
Spanish,4,4,0,353783484,0,0.25,1,17/07/23
Ukrainian,1,1,0,353783484,0,1,1,17/07/23
Bulgarian,1,1,0,353783484,0,1,1,18/07/23
Chinese,5,6,0,353783484,0,0.333333333,2,18/07/23
English,486,566,0,353783484,0,0.653225806,405,18/07/23
French,6,7,0,353783484,0,0.75,6,18/07/23
German,1,1,0,353783484,0,1,1,18/07/23
Greek,1,1,0,353783484,0,1,1,18/07/23
Russian,1,2,0,353783484,0,0,0,18/07/23
Spanish,3,3,0,353783484,0,0.333333333,1,18/07/23
Chinese,0,2,0,353783484,0,0.666666667,2,19/07/23
Czech,1,1,0,353783484,0,0,0,19/07/23
English,488,559,0,353783484,0,0.620904836,398,19/07/23
French,3,4,0,353783484,0,0.2,1,19/07/23
Gujarati,1,1,0,353783484,0,1,1,19/07/23
Hungarian,1,1,0,353783484,0,1,1,19/07/23
Korean,1,1,0,353783484,0,1,1,19/07/23
Lithuanian,1,1,0,353783484,0,1,1,19/07/23
Norwegian Bokmål,1,1,0,353783484,0,1,1,19/07/23
Polish,2,2,0,353783484,0,1,2,19/07/23
Portuguese,1,1,0,353783484,0,1,1,19/07/23
Romanian,0,1,0,353783484,0,1,1,19/07/23
Russian,0,2,0,353783484,0,0.25,1,19/07/23
Spanish,1,1,0,353783484,0,1,2,19/07/23
Chinese,4,5,0,353783484,0,0.8,4,20/07/23
Danish,1,1,0,353783484,0,1,1,20/07/23
English,456,525,0,353783484,0,0.601666667,361,20/07/23
French,4,4,0,353783484,0,0.5,3,20/07/23
German,1,1,0,353783484,0,0,0,20/07/23
Korean,1,1,0,353783484,0,0.5,1,20/07/23
Russian,1,1,0,353783484,0,0.5,1,20/07/23
Spanish,2,3,0,353783484,0,0.333333333,1,20/07/23
Chinese,1,1,0,353783484,0,0,0,21/07/23
English,433,506,0,353783484,0,0.5875,329,21/07/23
French,6,7,0,353783484,0,1,7,21/07/23
Korean,1,1,0,353783484,0,0,0,21/07/23
Latvian,1,1,0,353783484,0,1,1,21/07/23
Norwegian Bokmål,1,1,0,353783484,0,0,0,21/07/23
Russian,3,4,0,353783484,0,1,4,21/07/23
Spanish,2,2,0,353783484,0,0.5,1,21/07/23
Arabic,1,1,0,353783484,0,1,1,22/07/23
Chinese,1,2,0,353783484,0,0.5,1,22/07/23
Croatian,1,1,0,353783484,0,0,0,22/07/23
Dutch,1,1,0,353783484,0,1,1,22/07/23
English,408,467,0,353783484,0,0.634765625,325,22/07/23
Estonian,1,1,0,353783484,0,1,1,22/07/23
French,2,2,0,353783484,0,0.5,1,22/07/23
German,1,1,0,353783484,0,0,0,22/07/23
Russian,1,1,0,353783484,0,1,1,22/07/23
Spanish,2,2,0,353783484,0,0,0,22/07/23
Ukrainian,1,1,0,353783484,0,0,0,22/07/23
Bulgarian,2,2,0,353783484,0,1,2,23/07/23
Chinese,6,6,0,353783484,0,0.833333333,5,23/07/23
English,436,482,0,353783484,0,0.657743786,344,23/07/23
French,3,3,0,353783484,0,0.666666667,2,23/07/23
German,1,1,0,353783484,0,0.5,1,23/07/23
Korean,2,2,0,353783484,0,0.5,1,23/07/23
Russian,0,1,0,353783484,0,0,0,23/07/23
Spanish,1,1,0,353783484,0,1,1,23/07/23
Chinese,2,2,0,353783484,0,1,2,24/07/23
Dutch,1,1,0,353783484,0,1,1,24/07/23
English,500,571,0,353783484,0,0.658914729,425,24/07/23
French,5,5,0,353783484,0,0.8,4,24/07/23
Hungarian,1,1,0,353783484,0,1,1,24/07/23
Italian,1,1,0,353783484,0,0,0,24/07/23
Spanish,6,6,0,353783484,0,0.428571429,3,24/07/23
Ukrainian,1,1,0,353783484,0,1,1,24/07/23
Arabic,1,1,0,353783484,0,0,0,25/07/23
Chinese,3,3,0,353783484,0,1,3,25/07/23
English,478,556,0,353783484,0,0.646381579,393,25/07/23
French,4,4,0,353783484,0,0.75,3,25/07/23
Hungarian,0,1,0,353783484,0,1,1,25/07/23
Polish,1,1,0,353783484,0,1,1,25/07/23
Russian,1,1,0,353783484,0,0,0,25/07/23
Spanish,2,2,0,353783484,0,0,0,25/07/23
Chinese,4,5,0,353783484,0,0.8,4,26/07/23
English,475,546,0,353783484,0,0.646381579,393,26/07/23
French,4,4,0,353783484,0,1,4,26/07/23
German,1,1,0,353783484,0,0,0,26/07/23
Norwegian Bokmål,1,1,0,353783484,0,0,0,26/07/23
Portuguese,1,1,0,353783484,0,0,0,26/07/23
Russian,1,1,0,353783484,0,1,1,26/07/23
Serbian,1,1,0,353783484,0,1,1,26/07/23
Spanish,1,1,0,353783484,0,0,0,26/07/23
Chinese,1,1,0,353783484,0,1,1,27/07/23
English,475,549,0,353783484,0,0.638795987,382,27/07/23
French,2,3,0,353783484,0,1,3,27/07/23
Portuguese,1,1,0,353783484,0,1,1,27/07/23
Russian,0,1,0,353783484,0,0,0,27/07/23
Swedish,1,1,0,353783484,0,0,0,27/07/23
Chinese,1,2,0,353783484,0,1,2,28/07/23
English,414,483,0,353783484,0,0.648148148,350,28/07/23
French,1,2,0,353783484,0,1,2,28/07/23
Portuguese,1,1,0,353783484,0,1,1,28/07/23
Russian,1,1,0,353783484,0,1,1,28/07/23
Slovenian,1,1,0,353783484,0,0,0,28/07/23
Chinese,6,8,0,353783484,0,0.666666667,6,29/07/23
Danish,1,1,0,353783484,0,1,1,29/07/23
English,472,540,0,353783484,0,0.672212978,404,29/07/23
French,3,3,0,353783484,0,0.666666667,2,29/07/23
German,1,1,0,353783484,0,1,1,29/07/23
Portuguese,0,1,0,353783484,0,0,0,29/07/23
Romanian,1,1,0,353783484,0,1,2,29/07/23
Spanish,1,1,0,353783484,0,0,0,29/07/23
Arabic,1,1,0,353783484,0,1,1,30/07/23
Chinese,2,3,0,353783484,0,1,3,30/07/23
English,418,467,0,353783484,0,0.660749507,335,30/07/23
French,1,1,0,353783484,0,0,0,30/07/23
Russian,1,1,0,353783484,0,1,1,30/07/23
Spanish,1,1,0,353783484,0,0,0,30/07/23
Vietnamese,1,1,0,353783484,0,0,0,30/07/23
Chinese,3,3,0,353783484,0,0.666666667,2,31/07/23
English,530,605,0,353783484,0,0.66374269,454,31/07/23
French,5,5,0,353783484,0,0.8,4,31/07/23
German,1,1,0,353783484,0,0,0,31/07/23
Korean,1,1,0,353783484,0,0,0,31/07/23
Portuguese,1,1,0,353783484,0,1,1,31/07/23
Romanian,0,1,0,353783484,0,0,0,31/07/23
Spanish,2,2,0,353783484,0,0,0,31/07/23
Ukrainian,1,1,0,353783484,0,0,0,31/07/23
Chinese,3,4,0,353783484,0,0.833333333,5,01/08/23
English,500,571,0,353783484,0,0.621835443,393,01/08/23
French,4,4,0,353783484,0,0.75,3,01/08/23
Georgian,1,1,0,353783484,0,1,1,01/08/23
German,1,1,0,353783484,0,1,1,01/08/23
Korean,1,1,0,353783484,0,1,1,01/08/23
Portuguese,1,1,0,353783484,0,1,1,01/08/23
Russian,1,1,0,353783484,0,1,1,01/08/23
Slovenian,0,1,0,353783484,0,0.5,1,01/08/23
Spanish,2,2,0,353783484,0,1,2,01/08/23
Ukrainian,1,1,0,353783484,0,0,0,01/08/23
Chinese,2,2,0,353783484,0,0.5,1,02/08/23
English,482,545,0,353783484,0,0.629815745,376,02/08/23
French,5,5,0,353783484,0,0.333333333,2,02/08/23
Georgian,1,1,0,353783484,0,1,1,02/08/23
German,3,3,0,353783484,0,0.666666667,2,02/08/23
Hebrew,1,1,0,353783484,0,1,1,02/08/23
Hungarian,1,1,0,353783484,0,0,0,02/08/23
Korean,1,1,0,353783484,0,0,0,02/08/23
Swedish,1,1,0,353783484,0,1,1,02/08/23
Arabic,1,1,0,353783484,0,0,0,03/08/23
Chinese,2,3,0,353783484,0,0.25,1,03/08/23
Croatian,1,1,0,353783484,0,1,1,03/08/23
Dutch,1,1,0,353783484,0,1,1,03/08/23
English,465,527,0,353783484,0,0.626485569,369,03/08/23
French,4,4,0,353783484,0,1,4,03/08/23
German,1,1,0,353783484,0,1,1,03/08/23
Greek,1,1,0,353783484,0,0,0,03/08/23
Gujarati,1,1,0,353783484,0,0,0,03/08/23
Portuguese,1,2,0,353783484,0,0.5,1,03/08/23
Chinese,4,4,0,353783484,0,0.75,3,04/08/23
Danish,1,1,0,353783484,0,0,0,04/08/23
English,462,524,0,353783484,0,0.632582322,365,04/08/23
French,4,4,0,353783484,0,0.75,3,04/08/23
Norwegian Bokmål,1,1,0,353783484,0,0,0,04/08/23
Russian,2,2,0,353783484,0,0.5,1,04/08/23
Turkish,1,1,0,353783484,0,0,0,04/08/23
Bulgarian,1,1,0,353783484,0,0,0,05/08/23
Chinese,1,1,0,353783484,0,1,1,05/08/23
English,406,445,0,353783484,0,0.663917526,322,05/08/23
German,1,1,0,353783484,0,1,1,05/08/23
Chinese,1,1,0,353783484,0,1,1,06/08/23
Danish,1,1,0,353783484,0,1,1,06/08/23
Dutch,1,1,0,353783484,0,1,1,06/08/23
English,362,400,0,353783484,0,0.654676259,273,06/08/23
French,3,3,0,353783484,0,1,3,06/08/23
Korean,1,1,0,353783484,0,0,0,06/08/23
Arabic,1,1,0,353783484,0,0,0,07/08/23
Chinese,2,4,0,353783484,0,1,4,07/08/23
Croatian,1,1,0,353783484,0,1,1,07/08/23
Dutch,1,1,0,353783484,0,0,0,07/08/23
English,459,519,0,353783484,0,0.669026549,378,07/08/23
Finnish,1,1,0,353783484,0,1,1,07/08/23
French,4,5,0,353783484,0,0.6,3,07/08/23
German,0,1,0,353783484,0,0,0,07/08/23
Hebrew,1,1,0,353783484,0,1,1,07/08/23
Portuguese,1,1,0,353783484,0,1,1,07/08/23
Spanish,1,1,0,353783484,0,0,0,07/08/23
Chinese,2,2,0,353783484,0,1,2,08/08/23
English,473,555,0,353783484,0,0.664566929,422,08/08/23
Estonian,1,1,0,353783484,0,0,0,08/08/23
French,4,4,0,353783484,0,0.4,2,08/08/23
German,0,1,0,353783484,0,1,1,08/08/23
Hungarian,1,1,0,353783484,0,1,1,08/08/23
Japanese,1,1,0,353783484,0,1,1,08/08/23
Portuguese,1,1,0,353783484,0,0,0,08/08/23
Spanish,3,3,0,353783484,0,0.333333333,1,08/08/23
Ukrainian,1,1,0,353783484,0,0,0,08/08/23
Chinese,4,4,0,353783484,0,0.6,3,09/08/23
English,422,495,0,353783484,0,0.613074205,347,09/08/23
French,1,2,0,353783484,0,1,2,09/08/23
German,1,1,0,353783484,0,1,1,09/08/23
Korean,1,1,0,353783484,0,1,1,09/08/23
Polish,1,1,0,353783484,0,1,1,09/08/23
Spanish,2,2,0,353783484,0,0.5,1,09/08/23
Turkish,1,1,0,353783484,0,0.5,1,09/08/23
Ukrainian,1,1,0,353783484,0,0,0,09/08/23
Vietnamese,1,1,0,353783484,0,0,0,09/08/23
Chinese,3,3,0,353783484,0,0.25,1,10/08/23
English,447,524,0,353783484,0,0.656514382,388,10/08/23
French,7,7,0,353783484,0,0.571428571,4,10/08/23
Korean,1,1,0,353783484,0,0,0,10/08/23
Polish,1,1,0,353783484,0,0,0,10/08/23
Portuguese,1,1,0,353783484,0,0,0,10/08/23
Russian,1,1,0,353783484,0,1,1,10/08/23
Spanish,1,1,0,353783484,0,1,1,10/08/23
Chinese,5,5,0,353783484,0,1,6,11/08/23
English,401,470,0,353783484,0,0.67184466,346,11/08/23
French,4,4,0,353783484,0,0.6,3,11/08/23
German,1,1,0,353783484,0,1,1,11/08/23
Hebrew,0,1,0,353783484,0,1,1,11/08/23
Russian,2,2,0,353783484,0,0.333333333,1,11/08/23
Spanish,1,1,0,353783484,0,0,0,11/08/23
Vietnamese,2,2,0,353783484,0,0.5,1,11/08/23
Arabic,1,1,0,353783484,0,0,0,12/08/23
Chinese,3,3,0,353783484,0,1,3,12/08/23
Dutch,1,1,0,353783484,0,1,1,12/08/23
English,389,442,0,353783484,0,0.668058455,320,12/08/23
French,4,4,0,353783484,0,1,4,12/08/23
Romanian,1,1,0,353783484,0,1,1,12/08/23
Spanish,3,3,0,353783484,0,0.333333333,1,12/08/23
Turkish,1,1,0,353783484,0,1,1,12/08/23
Chinese,3,3,0,353783484,0,0.75,3,13/08/23
English,392,442,0,353783484,0,0.613445378,292,13/08/23
French,4,4,0,353783484,0,0.25,1,13/08/23
German,1,1,0,353783484,0,0,0,13/08/23
Greek,1,1,0,353783484,0,1,1,13/08/23
Spanish,4,4,0,353783484,0,0.5,2,13/08/23
Arabic,1,1,0,353783484,0,0,0,14/08/23
Chinese,3,3,0,353783484,0,0.333333333,1,14/08/23
English,488,579,0,353783484,0,0.639269406,420,14/08/23
French,3,3,0,353783484,0,0.666666667,2,14/08/23
Icelandic,1,1,0,353783484,0,1,1,14/08/23
Lithuanian,1,1,0,353783484,0,0.5,1,14/08/23
Polish,1,1,0,353783484,0,0,0,14/08/23
Romanian,1,1,0,353783484,0,0,0,14/08/23
Russian,1,1,0,353783484,0,1,1,14/08/23
Serbian,1,1,0,353783484,0,1,1,14/08/23
Spanish,2,2,0,353783484,0,0.5,1,14/08/23
Arabic,1,1,0,353783484,0,0,0,15/08/23
Chinese,5,8,0,353783484,0,0.777777778,7,15/08/23
Dutch,1,1,0,353783484,0,0,0,15/08/23
English,494,556,0,353783484,0,0.658227848,416,15/08/23
French,9,9,0,353783484,0,0.7,7,15/08/23
Russian,1,1,0,353783484,0,0,0,15/08/23
Spanish,2,2,0,353783484,0,0.5,1,15/08/23
Ukrainian,1,1,0,353783484,0,0,0,15/08/23
Bulgarian,1,1,0,353783484,0,1,1,16/08/23
Chinese,4,4,0,353783484,0,0.5,2,16/08/23
Danish,1,1,0,353783484,0,1,1,16/08/23
Dutch,1,1,0,353783484,0,0,0,16/08/23
English,412,464,0,353783484,0,0.630268199,329,16/08/23
French,5,6,0,353783484,0,0.75,6,16/08/23
Hungarian,1,1,0,353783484,0,1,1,16/08/23
Korean,2,2,0,353783484,0,0.5,1,16/08/23
Norwegian Bokmål,2,2,0,353783484,0,0.666666667,2,16/08/23
Polish,1,1,0,353783484,0,0,0,16/08/23
Russian,1,1,0,353783484,0,1,1,16/08/23
Spanish,1,1,0,353783484,0,1,1,16/08/23
Turkish,1,1,0,353783484,0,1,1,16/08/23
Chinese,2,3,0,353783484,0,0.333333333,1,17/08/23
English,409,457,0,353783484,0,0.594117647,303,17/08/23
French,5,5,0,353783484,0,0.8,4,17/08/23
Spanish,2,2,0,353783484,0,0,0,17/08/23
Ukrainian,1,1,0,353783484,0,0,0,17/08/23
Chinese,3,3,0,353783484,0,0.5,2,18/08/23
Dutch,1,1,0,353783484,0,1,1,18/08/23
English,462,521,0,353783484,0,0.592150171,347,18/08/23
Finnish,1,1,0,353783484,0,1,1,18/08/23
French,4,4,0,353783484,0,1,4,18/08/23
Lithuanian,1,1,0,353783484,0,0,0,18/08/23
Spanish,3,4,0,353783484,0,0.2,1,18/08/23
Vietnamese,0,1,0,353783484,0,1,1,18/08/23
Chinese,2,3,0,353783484,0,0.333333333,1,19/08/23
English,383,425,0,353783484,0,0.628820961,288,19/08/23
French,6,6,0,353783484,0,0.714285714,5,19/08/23
Italian,2,2,0,353783484,0,0.5,1,19/08/23
Spanish,5,5,0,353783484,0,0.2,1,19/08/23
Ukrainian,0,1,0,353783484,0,0,0,19/08/23
Arabic,1,1,0,353783484,0,0,0,20/08/23
Bulgarian,1,1,0,353783484,0,1,1,20/08/23
Chinese,2,2,0,353783484,0,0.8,4,20/08/23
Dutch,1,1,0,353783484,0,1,1,20/08/23
English,372,412,0,353783484,0,0.657534247,288,20/08/23
French,6,6,0,353783484,0,0.571428571,4,20/08/23
Italian,1,1,0,353783484,0,0,0,20/08/23
Korean,1,1,0,353783484,0,1,1,20/08/23
Romanian,1,1,0,353783484,0,1,1,20/08/23
Spanish,1,1,0,353783484,0,1,1,20/08/23
Vietnamese,1,1,0,353783484,0,0,0,20/08/23
Chinese,2,2,0,353783484,0,0.5,1,21/08/23
English,474,537,0,353783484,0,0.651006711,388,21/08/23
Finnish,2,2,0,353783484,0,1,2,21/08/23
French,5,6,0,353783484,0,0.666666667,4,21/08/23
German,1,1,0,353783484,0,0,0,21/08/23
Hungarian,2,2,0,353783484,0,1,2,21/08/23
Korean,1,1,0,353783484,0,0,0,21/08/23
Russian,2,2,0,353783484,0,0.5,1,21/08/23
Spanish,1,1,0,353783484,0,0,0,21/08/23
Vietnamese,0,1,0,353783484,0,1,1,21/08/23
Chinese,3,4,0,353783484,0,0.666666667,4,22/08/23
English,413,481,0,353783484,0,0.634011091,343,22/08/23
French,5,5,0,353783484,0,0.8,4,22/08/23
German,1,1,0,353783484,0,1,1,22/08/23
Hungarian,1,1,0,353783484,0,1,1,22/08/23
Italian,0,1,0,353783484,0,0,0,22/08/23
Korean,2,2,0,353783484,0,0.5,1,22/08/23
Russian,2,2,0,353783484,0,1,3,22/08/23
Turkish,2,2,0,353783484,0,0.5,1,22/08/23
Chinese,2,2,0,353783484,0,0.5,1,23/08/23
Croatian,1,1,0,353783484,0,0,0,23/08/23
English,412,486,0,353783484,0,0.637898687,340,23/08/23
French,4,4,0,353783484,0,0.75,3,23/08/23
Hungarian,1,2,0,353783484,0,1,3,23/08/23
Italian,1,1,0,353783484,0,0,0,23/08/23
Polish,1,1,0,353783484,0,1,1,23/08/23
Russian,0,1,0,353783484,0,1,1,23/08/23
Swedish,1,1,0,353783484,0,1,1,23/08/23
Turkish,1,1,0,353783484,0,1,1,23/08/23
Chinese,7,7,0,353783484,0,0.75,6,24/08/23
English,458,510,0,353783484,0,0.647887324,368,24/08/23
French,7,7,0,353783484,0,0.857142857,6,24/08/23
Spanish,3,3,0,353783484,0,0.333333333,1,24/08/23
Chinese,3,5,0,353783484,0,0.666666667,4,25/08/23
English,457,539,0,353783484,0,0.633561644,370,25/08/23
French,7,7,0,353783484,0,0.571428571,4,25/08/23
Japanese,1,1,0,353783484,0,0,0,25/08/23
Korean,1,1,0,353783484,0,1,2,25/08/23
Norwegian Bokmål,1,1,0,353783484,0,1,1,25/08/23
Turkish,1,1,0,353783484,0,1,1,25/08/23
Chinese,2,3,0,353783484,0,0.75,3,26/08/23
English,437,489,0,353783484,0,0.638576779,341,26/08/23
French,3,3,0,353783484,0,0.333333333,1,26/08/23
Polish,1,1,0,353783484,0,1,1,26/08/23
Russian,1,1,0,353783484,0,1,1,26/08/23
Spanish,3,3,0,353783484,0,0.333333333,1,26/08/23
