browser,newusers,eventcount,totalusers,conversions,totalrevenue,engagementrate,engagedsessions,date
Opera,1,4,1,0,0,1,1,27/01/24
Safari,280,1799,299,0,0,0.604361371,194,27/01/24
Safari (in-app),1,3,1,0,0,0,0,27/01/24
Samsung Internet,15,91,16,0,0,0.611111111,11,27/01/24
Android Webview,20,66,20,0,0,0.1,2,28/01/24
Chrome,284,1887,307,0,0,0.689969605,227,28/01/24
Edge,15,123,19,0,0,0.789473684,15,28/01/24
Firefox,15,78,15,0,0,0.411764706,7,28/01/24
Opera,1,5,1,0,0,1,1,28/01/24
Safari,305,1884,319,0,0,0.595988539,208,28/01/24
Safari (in-app),36,116,36,0,0,0.138888889,5,28/01/24
Samsung Internet,18,93,19,0,0,0.666666667,14,28/01/24
Android Webview,12,37,12,0,0,0.083333333,1,29/01/24
Chrome,330,2913,378,0,0,0.731707317,300,29/01/24
Edge,28,313,31,0,0,0.870967742,27,29/01/24
Firefox,26,376,29,0,0,0.823529412,28,29/01/24
Opera,4,22,4,0,0,0.75,3,29/01/24
Safari,247,1668,265,0,0,0.656140351,187,29/01/24
Safari (in-app),26,79,26,0,0,0.038461538,1,29/01/24
Samsung Internet,17,96,17,0,0,0.619047619,13,29/01/24
Android Webview,7,22,7,0,0,0.142857143,1,30/01/24
Chrome,316,2740,359,0,0,0.672634271,263,30/01/24
Edge,24,221,29,0,0,0.709677419,22,30/01/24
Firefox,16,185,19,0,0,0.8,16,30/01/24
Mozilla Compatible Agent,0,1,1,0,0,1,1,30/01/24
Opera,3,15,3,0,0,0.75,3,30/01/24
Safari,236,1799,257,0,0,0.7,189,30/01/24
Safari (in-app),5,16,5,0,0,0.2,1,30/01/24
Samsung Internet,19,89,20,0,0,0.55,11,30/01/24
Android Webview,8,34,9,0,0,0.111111111,1,31/01/24
Chrome,295,2719,350,0,0,0.692913386,264,31/01/24
Edge,22,275,25,0,0,0.851851852,23,31/01/24
Firefox,18,124,20,0,0,0.75,18,31/01/24
Opera,2,11,2,0,0,0.666666667,2,31/01/24
Safari,240,1665,259,0,0,0.642105263,183,31/01/24
Safari (in-app),2,8,2,0,0,0.5,1,31/01/24
Samsung Internet,14,89,15,0,0,0.6875,11,31/01/24
Android Webview,19,70,22,0,0,0.136363636,3,01/02/24
Chrome,288,2940,328,0,0,0.675213675,237,01/02/24
Edge,25,212,27,0,0,0.814814815,22,01/02/24
Firefox,13,89,17,0,0,0.473684211,9,01/02/24
Opera,2,7,2,0,0,0.5,1,01/02/24
Safari,236,1714,253,0,0,0.629090909,173,01/02/24
Safari (in-app),19,82,19,0,0,0.210526316,4,01/02/24
Samsung Internet,17,108,19,0,0,0.631578947,12,01/02/24
Android Webview,25,181,28,0,0,0.142857143,4,02/02/24
Chrome,328,2630,375,0,0,0.673123487,278,02/02/24
Edge,22,153,24,0,0,0.5,14,02/02/24
Firefox,6,61,8,0,0,0.666666667,6,02/02/24
Opera,2,9,2,0,0,0.5,1,02/02/24
Safari,261,1582,280,0,0,0.593959732,177,02/02/24
Safari (in-app),46,217,46,0,0,0.304347826,14,02/02/24
Samsung Internet,15,101,16,0,0,0.722222222,13,02/02/24
Android Webview,21,105,24,0,0,0.125,3,03/02/24
Chrome,290,2357,332,0,0,0.732394366,260,03/02/24
Edge,10,146,13,0,0,0.714285714,10,03/02/24
Firefox,22,158,24,0,0,0.592592593,16,03/02/24
Opera,2,22,2,0,0,1,2,03/02/24
Safari,321,1971,347,0,0,0.626344086,233,03/02/24
Safari (in-app),81,389,82,0,0,0.204819277,17,03/02/24
Samsung Internet,14,62,14,0,0,0.8,12,03/02/24
Android Webview,20,99,25,0,0,0.24,6,04/02/24
Chrome,310,2390,346,0,0,0.679045093,256,04/02/24
Edge,15,159,19,0,0,0.636363636,14,04/02/24
Firefox,16,95,17,0,0,0.722222222,13,04/02/24
Opera,0,4,1,0,0,0,0,04/02/24
Safari,327,1984,345,0,0,0.58423913,215,04/02/24
Safari (in-app),95,317,95,0,0,0.084210526,8,04/02/24
Samsung Internet,18,104,19,0,0,0.6,12,04/02/24
Android Webview,16,73,18,0,0,0.166666667,3,05/02/24
Chrome,365,2865,423,0,0,0.655844156,303,05/02/24
Edge,20,244,27,0,0,0.857142857,24,05/02/24
Firefox,23,206,24,0,0,0.766666667,23,05/02/24
Opera,2,13,2,0,0,1,2,05/02/24
Safari,274,2197,293,0,0,0.636363636,203,05/02/24
Safari (in-app),111,359,111,0,0,0.063063063,7,05/02/24
Samsung Internet,13,55,14,0,0,0.571428571,8,05/02/24
Android Webview,24,95,26,0,0,0.038461538,1,06/02/24
Chrome,324,2482,363,0,0,0.675810474,271,06/02/24
Edge,32,377,36,0,0,0.717948718,28,06/02/24
Firefox,23,254,25,0,0,0.625,20,06/02/24
Opera,1,7,2,0,0,0.5,1,06/02/24
Safari,245,1411,268,0,0,0.659649123,188,06/02/24
Safari (in-app),94,319,96,0,0,0.09375,9,06/02/24
Samsung Internet,16,86,17,0,0,0.611111111,11,06/02/24
Android Webview,26,119,29,0,0,0.137931034,4,07/02/24
Chrome,320,2487,362,0,0,0.68,272,07/02/24
Edge,22,216,26,0,0,0.766666667,23,07/02/24
Firefox,17,163,21,0,0,0.6,15,07/02/24
Opera,1,4,1,0,0,1,1,07/02/24
Safari,299,1783,310,0,0,0.570996979,189,07/02/24
Safari (in-app),103,355,107,0,0,0.074766355,8,07/02/24
Samsung Internet,17,86,17,0,0,0.631578947,12,07/02/24
Android Webview,24,84,26,0,0,0.115384615,3,08/02/24
Chrome,327,2537,362,0,0,0.718274112,283,08/02/24
Edge,29,405,34,0,0,0.72972973,27,08/02/24
Firefox,22,283,27,0,0,0.529411765,18,08/02/24
Opera,3,12,3,0,0,0.666666667,2,08/02/24
Safari,247,1782,270,0,0,0.565789474,172,08/02/24
Safari (in-app),104,359,106,0,0,0.08490566,9,08/02/24
Samsung Internet,14,85,16,0,0,0.611111111,11,08/02/24
Amazon Silk,1,4,1,0,0,1,1,09/02/24
Android Webview,38,139,44,0,0,0.113636364,5,09/02/24
Chrome,294,2276,333,0,0,0.664893617,250,09/02/24
Edge,19,163,22,0,0,0.739130435,17,09/02/24
Firefox,16,98,18,0,0,0.6,12,09/02/24
Opera,1,4,1,0,0,1,1,09/02/24
Safari,250,1474,280,0,0,0.578231293,170,09/02/24
Safari (in-app),73,239,77,0,0,0.051948052,4,09/02/24
Samsung Internet,18,160,20,0,0,0.7,14,09/02/24
Android Webview,33,165,36,0,0,0.210526316,8,10/02/24
Chrome,291,2167,323,0,0,0.695652174,240,10/02/24
Edge,15,135,17,0,0,0.777777778,14,10/02/24
Firefox,23,168,26,0,0,0.769230769,20,10/02/24
Safari,311,1962,333,0,0,0.588732394,209,10/02/24
Safari (in-app),43,178,44,0,0,0.159090909,7,10/02/24
Samsung Internet,25,216,27,0,0,0.814814815,22,10/02/24
Android Webview,25,117,30,0,0,0.129032258,4,11/02/24
Chrome,240,1789,269,0,0,0.662068966,192,11/02/24
Edge,13,100,16,0,0,0.705882353,12,11/02/24
Firefox,13,92,14,0,0,0.857142857,12,11/02/24
Opera,2,17,2,0,0,1,2,11/02/24
Safari,293,1682,310,0,0,0.53250774,172,11/02/24
Safari (in-app),24,89,25,0,0,0.32,8,11/02/24
Samsung Internet,21,115,21,0,0,0.434782609,10,11/02/24
Android Webview,30,107,35,0,0,0.114285714,4,12/02/24
Chrome,340,3251,385,0,0,0.715277778,309,12/02/24
Edge,29,330,34,0,0,0.769230769,30,12/02/24
Firefox,13,246,18,0,0,0.708333333,17,12/02/24
Opera,3,73,3,0,0,0.75,3,12/02/24
Safari,254,1941,273,0,0,0.589041096,172,12/02/24
Safari (in-app),23,161,25,0,0,0.259259259,7,12/02/24
Samsung Internet,12,72,12,0,0,0.538461538,7,12/02/24
Android Webview,19,113,25,0,0,0.275862069,8,13/02/24
Chrome,347,2795,394,0,0,0.666666667,292,13/02/24
Edge,30,357,33,0,0,0.777777778,28,13/02/24
Firefox,12,102,17,0,0,0.611111111,11,13/02/24
Opera,1,5,1,0,0,0,0,13/02/24
Safari,283,1814,300,0,0,0.547400612,179,13/02/24
Safari (in-app),16,85,16,0,0,0.375,6,13/02/24
Samsung Internet,14,53,14,0,0,0.642857143,9,13/02/24
Android Webview,23,88,29,0,0,0.137931034,4,14/02/24
Chrome,280,2484,317,0,0,0.731563422,248,14/02/24
Edge,20,212,27,0,0,0.793103448,23,14/02/24
Firefox,13,125,14,0,0,0.6875,11,14/02/24
Safari,268,1907,293,0,0,0.540453074,167,14/02/24
Safari (in-app),16,69,17,0,0,0.470588235,8,14/02/24
Samsung Internet,18,97,20,0,0,0.636363636,14,14/02/24
Android Webview,31,190,41,0,0,0.268292683,11,15/02/24
Chrome,287,3332,330,0,0,0.730245232,268,15/02/24
Edge,14,149,16,0,0,1,17,15/02/24
Firefox,13,111,16,0,0,0.666666667,12,15/02/24
Safari,264,1515,279,0,0,0.566666667,170,15/02/24
Safari (in-app),11,71,11,0,0,0.363636364,4,15/02/24
Samsung Internet,12,129,14,0,0,0.714285714,10,15/02/24
Android Webview,29,124,33,0,0,0.151515152,5,16/02/24
Chrome,290,2206,340,0,0,0.636363636,238,16/02/24
Edge,22,260,25,0,0,0.62962963,17,16/02/24
Firefox,14,159,17,0,0,0.85,17,16/02/24
Opera,0,10,1,0,0,1,2,16/02/24
Safari,294,1506,309,0,0,0.515243902,169,16/02/24
Safari (in-app),15,119,15,0,0,0.6,9,16/02/24
Samsung Internet,15,102,17,0,0,0.631578947,12,16/02/24
Android Webview,18,67,23,0,0,0.086956522,2,17/02/24
Chrome,320,2372,344,0,0,0.693989071,254,17/02/24
Edge,10,133,12,0,0,0.75,9,17/02/24
Firefox,11,100,12,0,0,0.6,9,17/02/24
Opera,2,11,2,0,0,0.5,1,17/02/24
Safari,356,2555,368,0,0,0.568831169,219,17/02/24
Safari (in-app),19,153,19,0,0,0.578947368,11,17/02/24
Samsung Internet,26,124,27,0,0,0.642857143,18,17/02/24
Android Webview,18,60,21,0,0,0,0,18/02/24
Chrome,319,2013,349,0,0,0.707317073,261,18/02/24
Edge,15,85,15,0,0,0.8125,13,18/02/24
Firefox,12,120,12,0,0,0.785714286,11,18/02/24
Opera,2,8,2,0,0,1,2,18/02/24
Safari,328,2028,347,0,0,0.5606469,208,18/02/24
Safari (in-app),12,43,12,0,0,0.166666667,2,18/02/24
Samsung Internet,16,104,18,0,0,0.611111111,11,18/02/24
Android Webview,20,92,24,0,0,0.16,4,19/02/24
Chrome,325,2439,363,0,0,0.715,286,19/02/24
Edge,22,327,28,0,0,0.714285714,25,19/02/24
Firefox,16,121,18,0,0,0.944444444,17,19/02/24
Opera,1,4,1,0,0,1,1,19/02/24
Phoenix Browser,1,4,1,0,0,0,0,19/02/24
Safari,346,2312,364,0,0,0.57253886,221,19/02/24
Safari (in-app),17,133,18,0,0,0.333333333,6,19/02/24
Samsung Internet,15,83,17,0,0,0.666666667,12,19/02/24
Amazon Silk,1,5,1,0,0,1,1,20/02/24
Android Webview,18,78,26,0,0,0.115384615,3,20/02/24
Chrome,335,2696,391,0,0,0.678403756,289,20/02/24
Edge,17,202,21,0,0,0.625,15,20/02/24
Firefox,15,111,16,0,0,0.529411765,9,20/02/24
Opera,3,75,3,0,0,1,4,20/02/24
Safari,307,1843,327,0,0,0.572254335,198,20/02/24
Safari (in-app),18,90,18,0,0,0.388888889,7,20/02/24
Samsung Internet,15,86,17,0,0,0.647058824,11,20/02/24
Android Webview,36,130,42,0,0,0.166666667,7,21/02/24
Chrome,330,2692,376,0,0,0.72705314,301,21/02/24
Edge,25,189,30,0,0,0.7,21,21/02/24
Firefox,18,193,21,0,0,0.75,18,21/02/24
Opera,3,26,4,0,0,0.2,1,21/02/24
Safari,260,1574,275,0,0,0.570945946,169,21/02/24
Safari (in-app),52,207,55,0,0,0.203389831,12,21/02/24
Samsung Internet,13,54,14,0,0,0.642857143,9,21/02/24
Android Webview,23,92,30,0,0,0.09375,3,22/02/24
Chrome,312,2656,347,0,0,0.710594315,275,22/02/24
Edge,29,219,32,0,0,0.657894737,25,22/02/24
Firefox,11,79,14,0,0,0.666666667,10,22/02/24
Opera,2,32,2,0,0,1,2,22/02/24
Safari,267,1717,286,0,0,0.577922078,178,22/02/24
Safari (in-app),58,208,61,0,0,0.081967213,5,22/02/24
Samsung Internet,21,90,21,0,0,0.714285714,15,22/02/24
Android Webview,30,117,39,0,0,0.153846154,6,23/02/24
Chrome,297,2965,347,0,0,0.691919192,274,23/02/24
Edge,27,268,33,0,0,0.75,27,23/02/24
Firefox,23,201,26,0,0,0.566666667,17,23/02/24
Opera,3,25,4,0,0,0.5,3,23/02/24
Safari,242,1676,266,0,0,0.551236749,156,23/02/24
Safari (in-app),51,174,52,0,0,0.132075472,7,23/02/24
Samsung Internet,21,139,21,0,0,0.739130435,17,23/02/24
Android Webview,43,178,52,0,0,0.173076923,9,24/02/24
Chrome,328,2561,368,0,0,0.685643564,277,24/02/24
Edge,18,298,20,0,0,0.739130435,17,24/02/24
Firefox,18,93,19,0,0,0.65,13,24/02/24
Opera,0,14,1,0,0,1,1,24/02/24
Safari,339,2214,359,0,0,0.588235294,230,24/02/24
Safari (in-app),89,321,90,0,0,0.088888889,8,24/02/24
Samsung Internet,17,74,18,0,0,0.777777778,14,24/02/24
Android Webview,43,165,48,0,0,0.204081633,10,25/02/24
Chrome,324,2579,365,0,0,0.65743073,261,25/02/24
Edge,18,155,19,0,0,0.842105263,16,25/02/24
Firefox,13,172,18,0,0,0.666666667,14,25/02/24
Opera,2,24,3,0,0,1,3,25/02/24
Safari,336,2213,356,0,0,0.595854922,230,25/02/24
Safari (in-app),77,262,79,0,0,0.0875,7,25/02/24
Samsung Internet,17,97,18,0,0,0.684210526,13,25/02/24
YaBrowser,1,8,1,0,0,1,1,25/02/24
Android Webview,22,78,26,0,0,0.076923077,2,26/02/24
Chrome,368,3040,420,0,0,0.68172043,317,26/02/24
Edge,32,389,41,0,0,0.672727273,37,26/02/24
Firefox,19,143,21,0,0,0.565217391,13,26/02/24
Opera,1,35,2,0,0,0.5,2,26/02/24
Safari,289,1974,318,0,0,0.626780627,220,26/02/24
Safari (in-app),39,167,39,0,0,0.230769231,9,26/02/24
Samsung Internet,19,107,19,0,0,0.789473684,15,26/02/24
Android Webview,31,111,37,0,0,0.105263158,4,27/02/24
Chrome,332,3710,424,0,0,0.699494949,277,27/02/24
Edge,40,669,106,0,0,0.78125,25,27/02/24
Firefox,26,737,97,0,0,0.772727273,17,27/02/24
Opera,2,106,3,0,0,0.5,3,27/02/24
Safari,285,2190,371,0,0,0.572327044,182,27/02/24
Safari (in-app),14,63,16,0,0,0.1875,3,27/02/24
Samsung Internet,18,185,20,0,0,0.545454545,12,27/02/24
UC Browser,1,4,1,0,0,1,1,27/02/24
Android Webview,25,107,29,0,0,0.068965517,2,28/02/24
Chrome,304,3063,342,0,0,0.712846348,283,28/02/24
Edge,18,213,23,0,0,0.666666667,18,28/02/24
Firefox,18,179,20,0,0,0.608695652,14,28/02/24
Opera,1,57,1,0,0,1,1,28/02/24
Safari,271,1953,303,0,0,0.555882353,189,28/02/24
Safari (in-app),8,42,10,0,0,0.2,2,28/02/24
Samsung Internet,17,130,20,0,0,0.727272727,16,28/02/24
Android Webview,24,79,27,0,0,0.037037037,1,29/02/24
Chrome,354,3561,415,0,0,0.651898734,309,29/02/24
Edge,30,277,34,0,0,0.72972973,27,29/02/24
Firefox,14,174,18,0,0,0.72,18,29/02/24
Opera,1,41,2,0,0,0.5,1,29/02/24
Safari,308,2110,342,0,0,0.551813472,213,29/02/24
Safari (in-app),16,54,16,0,0,0.25,4,29/02/24
Samsung Internet,15,122,18,0,0,0.65,13,29/02/24
Android Webview,31,108,35,0,0,0.027027027,1,01/03/24
Chrome,281,2371,339,0,0,0.678851175,260,01/03/24
Edge,22,227,27,0,0,0.633333333,19,01/03/24
Firefox,21,192,26,0,0,0.709677419,22,01/03/24
Opera,1,3,1,0,0,0,0,01/03/24
Safari,249,2023,279,0,0,0.578431373,177,01/03/24
Safari (in-app),10,38,11,0,0,0.181818182,2,01/03/24
Samsung Internet,17,68,18,0,0,0.4,8,01/03/24
Android Webview,32,110,35,0,0,0.057142857,2,02/03/24
Chrome,329,2646,375,0,0,0.652811736,267,02/03/24
Edge,14,256,21,0,0,0.708333333,17,02/03/24
Firefox,13,137,20,0,0,0.571428571,12,02/03/24
Opera,4,16,4,0,0,0.5,2,02/03/24
Safari,363,2264,402,0,0,0.516703786,232,02/03/24
Safari (in-app),14,50,16,0,0,0.125,2,02/03/24
Samsung Internet,14,75,16,0,0,0.5,10,02/03/24
Waterfox,2,6,2,0,0,0,0,02/03/24
Android Webview,21,93,33,0,0,0.090909091,3,03/03/24
Chrome,337,2793,389,0,0,0.660550459,288,03/03/24
Edge,9,104,13,0,0,0.692307692,9,03/03/24
Firefox,14,137,17,0,0,0.611111111,11,03/03/24
Opera,1,4,1,0,0,1,1,03/03/24
Safari,363,2095,387,0,0,0.582733813,243,03/03/24
Safari (in-app),8,28,9,0,0,0.222222222,2,03/03/24
Samsung Internet,23,119,25,0,0,0.518518519,14,03/03/24
Waterfox,1,4,1,0,0,1,1,03/03/24
Android Browser,40,135,40,0,0,0.35,14,04/03/24
Android Webview,33,111,35,0,0,0.142857143,5,04/03/24
Chrome,385,3596,449,0,0,0.635826772,323,04/03/24
Edge,20,263,26,0,0,0.75862069,22,04/03/24
Firefox,22,214,24,0,0,0.586206897,17,04/03/24
Opera,2,22,4,0,0,0.5,3,04/03/24
Safari,291,1881,322,0,0,0.543175487,195,04/03/24
Safari (in-app),10,52,12,0,0,0.285714286,4,04/03/24
Samsung Internet,14,155,16,0,0,0.526315789,10,04/03/24
Waterfox,1,4,1,0,0,1,1,04/03/24
Android Webview,23,107,25,0,0,0.16,4,05/03/24
Chrome,292,2780,345,0,0,0.64764268,261,05/03/24
Edge,18,230,25,0,0,0.633333333,19,05/03/24
Firefox,12,96,16,0,0,0.5,10,05/03/24
Mozilla Compatible Agent,1,7,1,0,0,1,2,05/03/24
Opera,2,37,4,0,0,0.5,2,05/03/24
Safari,234,1414,262,0,0,0.491749175,149,05/03/24
Safari (in-app),11,36,12,0,0,0.083333333,1,05/03/24
Samsung Internet,17,100,20,0,0,0.523809524,11,05/03/24
UC Browser,1,3,1,0,0,0,0,05/03/24
Waterfox,2,8,2,0,0,1,2,05/03/24
Android Webview,17,61,18,0,0,0.166666667,3,06/03/24
Chrome,290,2708,337,0,0,0.681462141,261,06/03/24
Edge,19,163,21,0,0,0.863636364,19,06/03/24
Firefox,18,172,26,0,0,0.548387097,17,06/03/24
Opera,5,109,5,0,0,0.8,4,06/03/24
Safari,221,1391,247,0,0,0.528089888,141,06/03/24
Safari (in-app),8,26,9,0,0,0,0,06/03/24
Samsung Internet,14,67,16,0,0,0.5,9,06/03/24
UC Browser,0,2,1,0,0,0,0,06/03/24
Android Webview,13,44,15,0,0,0.066666667,1,07/03/24
Chrome,225,2452,296,0,0,0.647887324,230,07/03/24
Edge,19,300,24,0,0,0.642857143,18,07/03/24
Firefox,10,70,12,0,0,0.692307692,9,07/03/24
Mozilla Compatible Agent,1,3,1,0,0,0,0,07/03/24
Opera,0,2,1,0,0,0,0,07/03/24
Safari,189,1282,220,0,0,0.502074689,121,07/03/24
Safari (in-app),13,45,13,0,0,0.153846154,2,07/03/24
Samsung Internet,13,85,14,0,0,0.642857143,9,07/03/24
Aloha Browser,1,9,1,0,0,1,1,08/03/24
Android Webview,23,90,25,0,0,0.08,2,08/03/24
Chrome,213,2581,267,0,0,0.658227848,208,08/03/24
Edge,20,184,26,0,0,0.655172414,19,08/03/24
Firefox,7,103,10,0,0,0.666666667,8,08/03/24
Opera,4,23,5,0,0,0.6,3,08/03/24
Safari,187,1031,208,0,0,0.489177489,113,08/03/24
Safari (in-app),8,25,8,0,0,0.125,1,08/03/24
Samsung Internet,9,86,10,0,0,0.538461538,7,08/03/24
Android Webview,17,69,19,0,0,0.157894737,3,09/03/24
Chrome,224,1862,263,0,0,0.674911661,191,09/03/24
Edge,15,145,17,0,0,0.55,11,09/03/24
Firefox,7,54,8,0,0,0.75,6,09/03/24
Mozilla Compatible Agent,0,1,1,0,0,1,1,09/03/24
Opera,4,34,4,0,0,0.75,3,09/03/24
Safari,234,1530,251,0,0,0.547368421,156,09/03/24
Safari (in-app),14,51,15,0,0,0.125,2,09/03/24
Samsung Internet,15,75,15,0,0,0.733333333,11,09/03/24
Android Webview,19,66,22,0,0,0.043478261,1,10/03/24
Chrome,221,1811,250,0,0,0.719858156,203,10/03/24
Edge,9,53,10,0,0,0.727272727,8,10/03/24
Firefox,8,53,9,0,0,1,9,10/03/24
Mozilla Compatible Agent,1,3,1,0,0,0,0,10/03/24
Opera,1,4,1,0,0,1,1,10/03/24
Safari,211,1486,230,0,0,0.567346939,139,10/03/24
Safari (in-app),10,41,10,0,0,0.2,2,10/03/24
Samsung Internet,8,44,9,0,0,0.6,6,10/03/24
Android Webview,15,61,20,0,0,0.15,3,11/03/24
Chrome,247,2587,306,0,0,0.671309192,241,11/03/24
Edge,19,253,24,0,0,0.666666667,18,11/03/24
Firefox,11,173,12,0,0,0.833333333,15,11/03/24
Opera,1,5,1,0,0,1,1,11/03/24
Safari,198,1338,224,0,0,0.587755102,144,11/03/24
Safari (in-app),7,149,8,0,0,0.375,3,11/03/24
Samsung Internet,12,89,12,0,0,0.5,7,11/03/24
Android Webview,25,100,31,0,0,0.090909091,3,12/03/24
Chrome,184,2181,249,0,0,0.631756757,187,12/03/24
Edge,11,111,16,0,0,0.5,9,12/03/24
Firefox,8,81,11,0,0,0.818181818,9,12/03/24
Opera,1,38,1,0,0,1,1,12/03/24
Safari,159,1387,189,0,0,0.533632287,119,12/03/24
Safari (in-app),4,40,6,0,0,0.5,3,12/03/24
Samsung Internet,14,87,16,0,0,0.526315789,10,12/03/24
Android Webview,18,59,18,0,0,0.105263158,2,13/03/24
Chrome,192,1984,231,0,0,0.634615385,165,13/03/24
Edge,12,85,15,0,0,0.588235294,10,13/03/24
Firefox,7,197,12,0,0,0.625,10,13/03/24
Safari,165,1131,186,0,0,0.519230769,108,13/03/24
Safari (in-app),8,31,8,0,0,0.25,2,13/03/24
Samsung Internet,10,59,11,0,0,0.428571429,6,13/03/24
Android Webview,25,101,29,0,0,0.161290323,5,14/03/24
Chrome,196,2206,241,0,0,0.667896679,181,14/03/24
Edge,16,151,20,0,0,0.608695652,14,14/03/24
Firefox,5,48,7,0,0,0.714285714,5,14/03/24
Opera,3,22,3,0,0,0.666666667,2,14/03/24
Safari,155,943,172,0,0,0.54973822,105,14/03/24
Safari (in-app),11,39,11,0,0,0.181818182,2,14/03/24
Samsung Internet,5,33,9,0,0,0.5,5,14/03/24
Android Browser,11,33,11,0,0,0,0,15/03/24
Android Webview,16,61,20,0,0,0.142857143,3,15/03/24
Chrome,188,1980,240,0,0,0.597014925,160,15/03/24
Edge,14,296,19,0,0,0.535714286,15,15/03/24
Firefox,6,48,8,0,0,1,8,15/03/24
Safari,164,1110,184,0,0,0.52173913,108,15/03/24
Safari (in-app),8,24,8,0,0,0,0,15/03/24
Samsung Internet,10,57,10,0,0,0.727272727,8,15/03/24
Android Webview,12,42,14,0,0,0.071428571,1,16/03/24
Chrome,169,1388,199,0,0,0.651162791,140,16/03/24
Edge,5,93,8,0,0,0.875,7,16/03/24
Firefox,9,61,10,0,0,0.636363636,7,16/03/24
Mozilla Compatible Agent,1,3,1,0,0,0,0,16/03/24
Opera,2,39,3,0,0,0.666666667,2,16/03/24
Safari,194,1406,212,0,0,0.603375527,143,16/03/24
Safari (in-app),18,76,18,0,0,0.111111111,2,16/03/24
Samsung Internet,9,44,9,0,0,0.666666667,6,16/03/24
Android Webview,29,95,31,0,0,0.03125,1,17/03/24
Chrome,158,1461,182,0,0,0.669950739,136,17/03/24
Edge,10,89,14,0,0,0.714285714,10,17/03/24
Firefox,3,55,6,0,0,0.666666667,4,17/03/24
Opera,3,14,3,0,0,0.666666667,2,17/03/24
Safari,169,1028,175,0,0,0.573684211,109,17/03/24
Safari (in-app),15,54,15,0,0,0.133333333,2,17/03/24
Samsung Internet,9,68,12,0,0,0.461538462,6,17/03/24
Android Webview,20,67,23,0,0,0.043478261,1,18/03/24
Chrome,238,2947,292,0,0,0.701492537,235,18/03/24
Edge,19,318,27,0,0,0.777777778,28,18/03/24
Firefox,8,60,13,0,0,0.785714286,11,18/03/24
Opera,2,9,2,0,0,0.5,1,18/03/24
Safari,175,1365,193,0,0,0.568888889,128,18/03/24
Safari (in-app),10,30,10,0,0,0,0,18/03/24
Samsung Internet,10,92,12,0,0,0.5,7,18/03/24
Android Webview,29,99,32,0,0,0.060606061,2,19/03/24
Chrome,195,2223,239,0,0,0.735074627,197,19/03/24
Edge,11,143,14,0,0,0.823529412,14,19/03/24
Firefox,8,67,10,0,0,0.6,6,19/03/24
Safari,159,1172,176,0,0,0.656084656,124,19/03/24
Safari (in-app),8,29,10,0,0,0.1,1,19/03/24
Samsung Internet,14,64,15,0,0,0.533333333,8,19/03/24
Android Webview,26,97,32,0,0,0.125,4,20/03/24
Chrome,184,1826,229,0,0,0.640740741,173,20/03/24
Edge,14,239,17,0,0,0.65,13,20/03/24
Firefox,11,88,13,0,0,0.625,10,20/03/24
Opera,2,7,2,0,0,0.5,1,20/03/24
Safari,180,1266,206,0,0,0.54954955,122,20/03/24
Safari (in-app),10,35,11,0,0,0.090909091,1,20/03/24
Samsung Internet,4,40,5,0,0,0.5,3,20/03/24
Android Runtime,3,12,3,0,0,1,3,21/03/24
Android Webview,28,102,33,0,0,0.147058824,5,21/03/24
Chrome,191,2354,240,0,0,0.71024735,201,21/03/24
Edge,23,303,31,0,0,0.631578947,24,21/03/24
Firefox,9,97,13,0,0,0.733333333,11,21/03/24
Safari,146,1259,170,0,0,0.538461538,105,21/03/24
Safari (in-app),7,25,8,0,0,0.111111111,1,21/03/24
Samsung Internet,8,56,10,0,0,0.8,8,21/03/24
Android Webview,22,95,26,0,0,0.230769231,6,22/03/24
Chrome,226,2790,281,0,0,0.617391304,213,22/03/24
Edge,25,168,30,0,0,0.676470588,23,22/03/24
Firefox,15,260,18,0,0,0.6,15,22/03/24
Mozilla Compatible Agent,0,6,2,0,0,1,2,22/03/24
Opera,0,2,1,0,0,0,0,22/03/24
Safari,180,1422,212,0,0,0.5375,129,22/03/24
Safari (in-app),3,16,4,0,0,0.2,1,22/03/24
Samsung Internet,7,53,9,0,0,0.6,6,22/03/24
Android Webview,24,91,31,0,0,0.064516129,2,23/03/24
Chrome,190,1764,228,0,0,0.67578125,173,23/03/24
Edge,12,97,15,0,0,0.5,10,23/03/24
Firefox,8,110,12,0,0,0.6,9,23/03/24
Safari,200,1636,232,0,0,0.584269663,156,23/03/24
Safari (in-app),15,56,16,0,0,0.1875,3,23/03/24
Samsung Internet,13,98,14,0,0,0.764705882,13,23/03/24
Android Webview,25,129,29,0,0,0.096774194,3,24/03/24
Chrome,164,1964,208,0,0,0.683127572,166,24/03/24
Edge,12,148,14,0,0,0.8,12,24/03/24
Firefox,9,70,10,0,0,0.545454545,6,24/03/24
Mozilla Compatible Agent,1,3,1,0,0,0,0,24/03/24
Opera,3,44,3,0,0,1,3,24/03/24
Safari,187,1238,207,0,0,0.547085202,122,24/03/24
Safari (in-app),11,52,12,0,0,0.25,3,24/03/24
Samsung Internet,10,84,10,0,0,0.636363636,7,24/03/24
Android Webview,21,71,22,0,0,0.130434783,3,25/03/24
Chrome,231,2762,303,0,0,0.647222222,233,25/03/24
Edge,17,161,19,0,0,0.904761905,19,25/03/24
Firefox,5,101,10,0,0,0.8,8,25/03/24
Opera,2,9,2,0,0,1,2,25/03/24
