sessions,eventcount,totalusers,conversions,property_id,totalrevenue,engagementrate,engagedsessions,eventspersession,sessioncampaignname,userengagementduration,date
15,56,12,0,353783484,0,0.6,9,3.733333333,(referral),126,31/07/23
8,56,7,0,353783484,0,0.75,6,7,DSA_Laminate Flooring,706,31/07/23
10,61,9,0,353783484,0,0.8,8,6.1,DSA_Search,340,31/07/23
5,15,5,0,353783484,0,0,0,3,FBAd,0,31/07/23
6,39,6,0,353783484,0,0.833333333,5,6.5,Geo Fencing | June 2023,402,31/07/23
87,885,77,0,353783484,0,0.689655172,60,10.17241379,GTA Search,9159,31/07/23
3,28,3,0,353783484,0,0.666666667,2,9.333333333,Laminate Flooring - GTA,346,31/07/23
68,394,60,0,353783484,0,0.602941176,41,5.794117647,(direct),4037,01/08/23
426,2777,388,0,353783484,0,0.659624413,281,6.518779343,(organic),27594,01/08/23
17,91,15,0,353783484,0,0.352941176,6,5.352941176,(referral),435,01/08/23
2,8,2,0,353783484,0,0,0,4,2122,2,01/08/23
8,101,3,0,353783484,0,0.75,6,12.625,DSA_Laminate Flooring,1025,01/08/23
9,83,9,0,353783484,0,0.666666667,6,9.222222222,DSA_Search,427,01/08/23
29,87,29,0,353783484,0,0,0,3,FBAd,0,01/08/23
8,123,7,0,353783484,0,0.5,4,15.375,Geo Fencing | June 2023,1134,01/08/23
79,680,71,0,353783484,0,0.759493671,60,8.607594937,GTA Search,6227,01/08/23
6,47,6,0,353783484,0,0.666666667,4,7.833333333,Laminate Flooring - GTA,263,01/08/23
56,375,52,0,353783484,0,0.607142857,34,6.696428571,(direct),1899,02/08/23
4,8,4,0,353783484,0,0,0,2,(not set),54,02/08/23
420,2471,384,0,353783484,0,0.626190476,263,5.883333333,(organic),27164,02/08/23
8,25,7,0,353783484,0,0.125,1,3.125,(referral),11,02/08/23
10,153,6,0,353783484,0,0.8,8,15.3,DSA_Laminate Flooring,1324,02/08/23
10,74,10,0,353783484,0,0.7,7,7.4,DSA_Search,452,02/08/23
24,77,24,0,353783484,0,0.041666667,1,3.208333333,FBAd,50,02/08/23
5,47,5,0,353783484,0,0.6,3,9.4,Geo Fencing | June 2023,314,02/08/23
70,713,64,0,353783484,0,0.842857143,59,10.18571429,GTA Search,10134,02/08/23
7,78,7,0,353783484,0,1,7,11.14285714,Laminate Flooring - GTA,844,02/08/23
51,300,45,0,353783484,0,0.490196078,25,5.882352941,(direct),1568,03/08/23
2,10,2,0,353783484,0,0,0,5,(not set),306,03/08/23
436,2538,392,0,353783484,0,0.616972477,269,5.821100917,(organic),29677,03/08/23
8,79,8,0,353783484,0,0.375,3,9.875,(referral),427,03/08/23
12,135,9,0,353783484,0,0.75,9,11.25,DSA_Laminate Flooring,1168,03/08/23
10,74,9,0,353783484,0,0.7,7,7.4,DSA_Search,637,03/08/23
4,14,4,0,353783484,0,0.25,1,3.5,FBAd,1,03/08/23
3,66,3,0,353783484,0,1,3,22,Geo Fencing | June 2023,675,03/08/23
74,633,69,0,353783484,0,0.743243243,55,8.554054054,GTA Search,6651,03/08/23
6,103,5,0,353783484,0,0.833333333,5,17.16666667,Laminate Flooring - GTA,1153,03/08/23
48,307,44,0,353783484,0,0.666666667,32,6.395833333,(direct),2368,04/08/23
2,6,2,0,353783484,0,0,0,3,(not set),16,04/08/23
416,2545,381,0,353783484,0,0.625,260,6.117788462,(organic),30574,04/08/23
9,30,9,0,353783484,0,0.222222222,2,3.333333333,(referral),78,04/08/23
9,77,8,0,353783484,0,0.888888889,8,8.555555556,DSA_Laminate Flooring,503,04/08/23
6,47,6,0,353783484,0,0.833333333,5,7.833333333,DSA_Search,422,04/08/23
7,21,7,0,353783484,0,0,0,3,FBAd,0,04/08/23
8,37,7,0,353783484,0,0.5,4,4.625,Geo Fencing | June 2023,126,04/08/23
76,717,69,0,353783484,0,0.723684211,55,9.434210526,GTA Search,5171,04/08/23
9,64,7,0,353783484,0,0.555555556,5,7.111111111,Laminate Flooring - GTA,242,04/08/23
28,229,26,0,353783484,0,0.642857143,18,8.178571429,(direct),2268,05/08/23
2,10,2,0,353783484,0,0.5,1,5,(not set),126,05/08/23
339,1735,320,0,353783484,0,0.675516224,229,5.1179941,(organic),21299,05/08/23
9,33,9,0,353783484,0,0.333333333,3,3.666666667,(referral),74,05/08/23
9,103,8,0,353783484,0,0.777777778,7,11.44444444,DSA_Laminate Flooring,1442,05/08/23
8,99,6,0,353783484,0,0.5,4,12.375,DSA_Search,2867,05/08/23
5,15,5,0,353783484,0,0,0,3,FBAd,0,05/08/23
9,89,7,0,353783484,0,0.666666667,6,9.888888889,Geo Fencing | June 2023,1142,05/08/23
74,572,67,0,353783484,0,0.716216216,53,7.72972973,GTA Search,7132,05/08/23
4,68,3,0,353783484,0,0.75,3,17,Laminate Flooring - GTA,611,05/08/23
27,249,24,0,353783484,0,0.592592593,16,9.222222222,(direct),2782,06/08/23
2,42,2,0,353783484,0,0,0,21,(not set),344,06/08/23
285,1487,274,0,353783484,0,0.680701754,194,5.21754386,(organic),18535,06/08/23
15,52,15,0,353783484,0,0.133333333,2,3.466666667,(referral),52,06/08/23
1,7,1,0,353783484,0,1,1,7,DSA_Laminate Flooring,22,06/08/23
5,33,5,0,353783484,0,1,5,6.6,DSA_Search,271,06/08/23
1,3,1,0,353783484,0,0,0,3,FBAd,0,06/08/23
4,12,4,0,353783484,0,0,0,3,Geo Fencing | June 2023,0,06/08/23
78,624,76,0,353783484,0,0.705128205,55,8,GTA Search,5477,06/08/23
6,60,6,0,353783484,0,1,6,10,Laminate Flooring - GTA,284,06/08/23
33,368,31,0,353783484,0,0.484848485,16,11.15151515,(direct),2958,07/08/23
1,1,1,0,353783484,0,0,0,1,(not set),7,07/08/23
388,2302,359,0,353783484,0,0.657216495,255,5.932989691,(organic),26220,07/08/23
17,65,17,0,353783484,0,0.235294118,4,3.823529412,(referral),64,07/08/23
2,18,2,0,353783484,0,0.5,1,9,DSA_Laminate Flooring,140,07/08/23
15,88,13,0,353783484,0,0.466666667,7,5.866666667,DSA_Search,654,07/08/23
1,3,1,0,353783484,0,0,0,3,FBAd,0,07/08/23
28,397,23,0,353783484,0,0.857142857,24,14.17857143,Geo Fencing | June 2023,2458,07/08/23
86,1002,78,0,353783484,0,0.802325581,69,11.65116279,GTA Search,12345,07/08/23
12,98,12,0,353783484,0,1,12,8.166666667,Laminate Flooring - GTA,1090,07/08/23
66,498,57,0,353783484,0,0.560606061,37,7.545454545,(direct),5669,08/08/23
2,3,2,0,353783484,0,0,0,1.5,(not set),355,08/08/23
410,2905,365,0,353783484,0,0.687804878,282,7.085365854,(organic),38000,08/08/23
24,113,21,0,353783484,0,0.458333333,11,4.708333333,(referral),731,08/08/23
3,79,2,0,353783484,0,1,3,26.33333333,DSA_Laminate Flooring,1144,08/08/23
10,159,10,0,353783484,0,0.7,7,15.9,DSA_Search,1460,08/08/23
2,6,2,0,353783484,0,0,0,3,FBAd,0,08/08/23
41,553,34,0,353783484,0,0.609756098,25,13.48780488,Geo Fencing | June 2023,6670,08/08/23
85,928,76,0,353783484,0,0.682352941,58,10.91764706,GTA Search,10004,08/08/23
7,37,6,0,353783484,0,0.857142857,6,5.285714286,Laminate Flooring - GTA,221,08/08/23
34,220,29,0,353783484,0,0.5,17,6.470588235,(direct),1381,09/08/23
3,3,3,0,353783484,0,0,0,1,(not set),155,09/08/23
393,2220,353,0,353783484,0,0.636132316,250,5.648854962,(organic),23742,09/08/23
19,87,18,0,353783484,0,0.210526316,4,4.578947368,(referral),315,09/08/23
7,31,6,0,353783484,0,0.571428571,4,4.428571429,DSA_Laminate Flooring,111,09/08/23
15,128,14,0,353783484,0,0.8,12,8.533333333,DSA_Search,848,09/08/23
3,9,3,0,353783484,0,0,0,3,FBAd,0,09/08/23
32,373,23,0,353783484,0,0.71875,23,11.65625,Geo Fencing | June 2023,3996,09/08/23
67,477,58,0,353783484,0,0.641791045,43,7.119402985,GTA Search,4205,09/08/23
9,35,8,0,353783484,0,0.444444444,4,3.888888889,Laminate Flooring - GTA,101,09/08/23
51,647,44,0,353783484,0,0.705882353,36,12.68627451,(direct),7111,10/08/23
3,12,3,0,353783484,0,0,0,4,(not set),104,10/08/23
373,2117,342,0,353783484,0,0.632707775,236,5.675603217,(organic),25464,10/08/23
20,105,17,0,353783484,0,0.55,11,5.25,(referral),619,10/08/23
6,73,5,0,353783484,0,0.5,3,12.16666667,DSA_Laminate Flooring,784,10/08/23
13,100,11,0,353783484,0,0.538461538,7,7.692307692,DSA_Search,1217,10/08/23
5,15,5,0,353783484,0,0,0,3,FBAd,0,10/08/23
32,758,26,0,353783484,0,0.84375,27,23.6875,Geo Fencing | June 2023,8129,10/08/23
78,602,71,0,353783484,0,0.705128205,55,7.717948718,GTA Search,4581,10/08/23
18,146,13,0,353783484,0,0.722222222,13,8.111111111,Holiday21,1557,10/08/23
9,100,9,0,353783484,0,0.777777778,7,11.11111111,Laminate Flooring - GTA,1206,10/08/23
37,225,34,0,353783484,0,0.621621622,23,6.081081081,(direct),1429,11/08/23
3,5,3,0,353783484,0,0,0,1.666666667,(not set),0,11/08/23
326,1734,308,0,353783484,0,0.671779141,219,5.319018405,(organic),22274,11/08/23
18,152,16,0,353783484,0,0.444444444,8,8.444444444,(referral),1708,11/08/23
6,55,6,0,353783484,0,0.5,3,9.166666667,2122,324,11/08/23
9,143,5,0,353783484,0,0.888888889,8,15.88888889,DSA_Laminate Flooring,985,11/08/23
11,58,9,0,353783484,0,0.454545455,5,5.272727273,DSA_Search,173,11/08/23
7,21,7,0,353783484,0,0,0,3,FBAd,0,11/08/23
33,345,25,0,353783484,0,0.757575758,25,10.45454546,Geo Fencing | June 2023,2341,11/08/23
74,679,69,0,353783484,0,0.797297297,59,9.175675676,GTA Search,8942,11/08/23
10,75,9,0,353783484,0,0.9,9,7.5,Laminate Flooring - GTA,721,11/08/23
