sessions,eventcount,totalusers,conversions,property_id,totalrevenue,engagementrate,engagedsessions,eventspersession,userengagementduration,sessiondefaultchannelgrouping,date
23,71,23,0,353783484,0,0.086956522,2,3.086956522,385,Organic Social,14/08/23
27,272,16,0,353783484,0,0.703703704,19,10.07407407,2197,Organic Video,14/08/23
131,1111,112,0,353783484,0,0.709923664,93,8.480916031,8755,Paid Search,14/08/23
1,4,1,0,353783484,0,1,1,4,31,Referral,14/08/23
10,80,10,0,353783484,0,0,0,8,1238,Unassigned,14/08/23
28,257,26,0,353783484,0,0.714285714,20,9.178571429,1970,Cross-network,15/08/23
61,524,47,0,353783484,0,0.639344262,39,8.590163934,3553,Direct,15/08/23
422,2306,389,0,353783484,0,0.670616114,283,5.464454976,22689,Organic Search,15/08/23
22,87,21,0,353783484,0,0.272727273,6,3.954545455,286,Organic Social,15/08/23
16,139,13,0,353783484,0,0.6875,11,8.6875,908,Organic Video,15/08/23
99,758,87,0,353783484,0,0.707070707,70,7.656565657,6801,Paid Search,15/08/23
2,7,1,0,353783484,0,0.5,1,3.5,5,Referral,15/08/23
7,22,7,0,353783484,0,0,0,3.142857143,613,Unassigned,15/08/23
27,284,22,0,353783484,0,0.777777778,21,10.51851852,4219,Cross-network,16/08/23
40,236,35,0,353783484,0,0.475,19,5.9,2278,Direct,16/08/23
349,1752,320,0,353783484,0,0.661891117,231,5.020057307,20924,Organic Search,16/08/23
21,79,21,0,353783484,0,0.238095238,5,3.761904762,719,Organic Social,16/08/23
15,187,8,0,353783484,0,0.733333333,11,12.46666667,1620,Organic Video,16/08/23
86,802,76,0,353783484,0,0.686046512,59,9.325581395,7024,Paid Search,16/08/23
2,5,1,0,353783484,0,0,0,2.5,0,Referral,16/08/23
5,15,5,0,353783484,0,0,0,3,0,Unassigned,16/08/23
34,341,26,0,353783484,0,0.617647059,21,10.02941177,2511,Cross-network,17/08/23
36,213,33,0,353783484,0,0.638888889,23,5.916666667,1296,Direct,17/08/23
331,1671,301,0,353783484,0,0.592145015,196,5.048338369,20054,Organic Search,17/08/23
17,54,17,0,353783484,0,0.235294118,4,3.176470588,121,Organic Social,17/08/23
94,782,82,0,353783484,0,0.659574468,62,8.319148936,8237,Paid Search,17/08/23
2,10,2,0,353783484,0,1,2,5,245,Referral,17/08/23
7,21,7,0,353783484,0,0.142857143,1,3,250,Unassigned,17/08/23
37,356,27,0,353783484,0,0.621621622,23,9.621621622,2475,Cross-network,18/08/23
51,361,47,0,353783484,0,0.411764706,21,7.078431373,4211,Direct,18/08/23
404,2240,363,0,353783484,0,0.608910891,246,5.544554455,23850,Organic Search,18/08/23
20,63,19,0,353783484,0,0.2,4,3.15,58,Organic Social,18/08/23
82,804,77,0,353783484,0,0.768292683,63,9.804878049,7047,Paid Search,18/08/23
10,41,10,0,353783484,0,0,0,4.1,443,Unassigned,18/08/23
10,133,9,0,353783484,0,0.7,7,13.3,1659,Cross-network,19/08/23
42,211,34,0,353783484,0,0.523809524,22,5.023809524,2952,Direct,19/08/23
325,1740,309,0,353783484,0,0.655384615,213,5.353846154,19676,Organic Search,19/08/23
14,40,14,0,353783484,0,0.071428571,1,2.857142857,10,Organic Social,19/08/23
74,622,69,0,353783484,0,0.716216216,53,8.405405405,7548,Paid Search,19/08/23
1,5,1,0,353783484,0,1,1,5,11,Referral,19/08/23
10,29,10,0,353783484,0,0,0,2.9,11,Unassigned,19/08/23
18,418,15,0,353783484,0,0.833333333,15,23.22222222,4094,Cross-network,20/08/23
31,357,30,0,353783484,0,0.580645161,18,11.51612903,3240,Direct,20/08/23
295,1646,279,0,353783484,0,0.674576271,199,5.579661017,22369,Organic Search,20/08/23
26,95,23,0,353783484,0,0.230769231,6,3.653846154,169,Organic Social,20/08/23
82,800,76,0,353783484,0,0.768292683,63,9.756097561,8277,Paid Search,20/08/23
6,19,6,0,353783484,0,0,0,3.166666667,59,Unassigned,20/08/23
33,321,27,0,353783484,0,0.666666667,22,9.727272727,2618,Cross-network,21/08/23
48,236,45,0,353783484,0,0.479166667,23,4.916666667,1843,Direct,21/08/23
379,1931,354,0,353783484,0,0.662269129,251,5.094986807,22479,Organic Search,21/08/23
17,98,16,0,353783484,0,0.588235294,10,5.764705882,812,Organic Social,21/08/23
126,1182,108,0,353783484,0,0.722222222,91,9.380952381,12777,Paid Search,21/08/23
3,9,2,0,353783484,0,0.333333333,1,3,1,Referral,21/08/23
8,22,8,0,353783484,0,0,0,2.75,50,Unassigned,21/08/23
31,249,25,0,353783484,0,0.548387097,17,8.032258065,2171,Cross-network,22/08/23
36,369,32,0,353783484,0,0.527777778,19,10.25,3489,Direct,22/08/23
354,1829,322,0,353783484,0,0.666666667,236,5.166666667,19844,Organic Search,22/08/23
12,45,12,0,353783484,0,0.166666667,2,3.75,883,Organic Social,22/08/23
1,4,1,0,353783484,0,0,0,4,2,Organic Video,22/08/23
116,901,100,0,353783484,0,0.698275862,81,7.767241379,7070,Paid Search,22/08/23
5,61,3,0,353783484,0,0.6,3,12.2,410,Referral,22/08/23
6,16,6,0,353783484,0,0,0,2.666666667,56,Unassigned,22/08/23
28,244,22,0,353783484,0,0.607142857,17,8.714285714,2142,Cross-network,23/08/23
61,605,56,0,353783484,0,0.62295082,38,9.918032787,5473,Direct,23/08/23
336,1946,315,0,353783484,0,0.663690476,223,5.791666667,22977,Organic Search,23/08/23
13,42,13,0,353783484,0,0.230769231,3,3.230769231,65,Organic Social,23/08/23
98,795,89,0,353783484,0,0.704081633,69,8.112244898,7124,Paid Search,23/08/23
2,18,2,0,353783484,0,0.5,1,9,29,Referral,23/08/23
9,23,9,0,353783484,0,0,0,2.555555556,0,Unassigned,23/08/23
31,293,29,0,353783484,0,0.64516129,20,9.451612903,2682,Cross-network,24/08/23
70,367,63,0,353783484,0,0.542857143,38,5.242857143,2424,Direct,24/08/23
368,2350,333,0,353783484,0,0.671195652,247,6.385869565,26358,Organic Search,24/08/23
11,50,11,0,353783484,0,0.363636364,4,4.545454545,554,Organic Social,24/08/23
92,766,83,0,353783484,0,0.75,69,8.326086957,7675,Paid Search,24/08/23
4,16,4,0,353783484,0,0.5,2,4,66,Referral,24/08/23
11,31,11,0,353783484,0,0,0,2.818181818,14,Unassigned,24/08/23
31,356,29,0,353783484,0,0.516129032,16,11.48387097,3846,Cross-network,25/08/23
42,244,36,0,353783484,0,0.452380952,19,5.80952381,2675,Direct,25/08/23
417,2405,382,0,353783484,0,0.661870504,276,5.767386091,29291,Organic Search,25/08/23
12,43,12,0,353783484,0,0.083333333,1,3.583333333,105,Organic Social,25/08/23
90,774,84,0,353783484,0,0.777777778,70,8.6,6318,Paid Search,25/08/23
13,33,13,0,353783484,0,0,0,2.538461538,131,Unassigned,25/08/23
15,117,12,0,353783484,0,0.866666667,13,7.8,652,Cross-network,26/08/23
30,191,30,0,353783484,0,0.566666667,17,6.366666667,1428,Direct,26/08/23
376,1964,350,0,353783484,0,0.662234043,249,5.223404255,25818,Organic Search,26/08/23
18,53,17,0,353783484,0,0.111111111,2,2.944444444,0,Organic Social,26/08/23
100,963,88,0,353783484,0,0.67,67,9.63,10274,Paid Search,26/08/23
2,13,2,0,353783484,0,0.5,1,6.5,75,Referral,26/08/23
7,19,7,0,353783484,0,0,0,2.714285714,0,Unassigned,26/08/23
13,163,11,0,353783484,0,0.769230769,10,12.53846154,1286,Cross-network,27/08/23
